year,ISO,LiNo,latitude,longitude,Breteau_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,date,
2012,35,58,22.6464403,120.2902105,1100,2,100,26.19047619,19400,2012/8/20,2012/8/26
2011,41,79,22.6493216,120.3183249,1000,1,100,18.18181818,6900,2011/10/3,2011/10/9
2012,38,15,22.6568351,120.330578,800,1,100,38.0952381,13000,2012/9/10,2012/9/16
2012,39,61,22.6364107,120.2948966,800,1,100,14.28571429,5300,2012/9/17,2012/9/23
2011,40,71,22.6375204,120.34283,800,2,800,36.36363636,26600,2011/9/26,2011/10/2
2012,21,64,22.6351375,120.3413886,700,0,100,18.42105263,4300,2012/5/14,2012/5/20
2011,29,72,22.6396034,120.3457126,600,0,100,22.22222222,2900,2011/7/11,2011/7/17
2011,36,34,22.6387562,120.2981408,500,3,100,6.666666667,5200,2011/8/29,2011/9/4
2011,51,76,22.6445413,120.3284158,500,2,100,9.615384615,4400,2011/12/12,2011/12/18
2011,38,9,22.6527321,120.3341816,400,0,100,13.79310345,4200,2011/9/12,2011/9/18
2011,42,17,22.6458181,120.3190457,400,1,100,8.888888889,3500,2011/10/10,2011/10/16
2011,39,68,22.6485655,120.3284158,400,0,100,13.33333333,2300,2011/9/19,2011/9/25
2011,40,68,22.6485655,120.3284158,400,1,100,13.79310345,2400,2011/9/26,2011/10/2
2012,42,68,22.6485655,120.3284158,400,0,100,10.25641026,8300,2012/10/8,2012/10/14
2011,40,11,22.6491501,120.3385059,300,3,100,14.28571429,1600,2011/9/26,2011/10/2
2011,31,25,22.6471059,120.2966989,300,0,100,18.75,3000,2011/7/25,2011/7/31
2012,50,65,22.6473667,120.3341816,300,0,100,11.53846154,1400,2012/12/3,2012/12/9
2011,19,75,22.6384195,120.3385059,300,4,100,100,3600,2011/5/2,2011/5/8
2012,47,10,22.6535995,120.3251724,200,0,100,8,400,2012/11/12,2012/11/18
2011,37,24,22.6432131,120.3154416,200,0,100,4.081632653,1500,2011/9/5,2011/9/11
2012,43,24,22.6432131,120.3154416,200,1,100,4.651162791,1100,2012/10/15,2012/10/21
2012,1,54,22.6355178,120.2927338,200,1,100,11.11111111,1000,2012/1/1,2012/1/1
2012,40,77,22.6458505,120.3237308,200,2,100,11.76470588,3200,2012/9/24,2012/9/30
2011,36,80,22.6556903,120.3215685,200,4,100,11.76470588,15500,2011/8/29,2011/9/4
2011,51,10,22.6535995,120.3251724,100,0,100,5.263157895,1300,2011/12/12,2011/12/18
2012,40,13,22.6507594,120.3323798,100,0,100,16.66666667,5000,2012/9/24,2012/9/30
2012,46,18,22.6447551,120.2999431,100,1,100,10.71428571,1533.333333,2012/11/5,2012/11/11
2011,52,26,22.6466511,120.3053498,100,0,100,10,500,2011/12/19,2011/12/25
2011,39,31,22.639853,120.3219289,100,0,100,8.333333333,1300,2011/9/19,2011/9/25
2011,20,34,22.6387562,120.2981408,100,0,100,10,1000,2011/5/9,2011/5/15
2011,27,46,22.6638891,120.3208477,100,0,100,33.33333333,600,2011/6/27,2011/7/3
2011,42,48,22.6665247,120.3291365,100,2,100,4.761904762,1700,2011/10/10,2011/10/16
2011,27,63,22.6437991,120.3255327,100,0,100,7.692307692,1600,2011/6/27,2011/7/3
2011,41,65,22.6473667,120.3341816,100,1,100,2.941176471,1000,2011/10/3,2011/10/9
2011,27,74,22.6403602,120.3356231,100,0,100,33.33333333,200,2011/6/27,2011/7/3
2011,52,74,22.6403602,120.3356231,100,0,100,2.564102564,1700,2011/12/19,2011/12/25
2012,38,75,22.6384195,120.3385059,100,0,100,16.66666667,300,2012/9/10,2012/9/16
2011,39,80,22.6556903,120.3215685,100,1,100,5,800,2011/9/19,2011/9/25
2011,17,86,22.6523825,120.3132792,100,0,100,8.333333333,1500,2011/4/18,2011/4/24
2012,35,86,22.6523825,120.3132792,100,0,100,4.761904762,500,2012/8/20,2012/8/26
2011,34,68,22.6485655,120.3284158,90,0,20,42.85714286,810,2011/8/15,2011/8/21
2011,23,25,22.6471059,120.2966989,75,0.5,50,6.52173913,550,2011/5/30,2011/6/5
2005,13,48,22.6665247,120.3291365,68,0,0,100,0,2005/3/21,2005/3/27
2007,35,79,22.6493216,120.3183249,62.06896552,0,6.896551724,39.13043478,256.8965517,2007/8/27,2007/9/2
2008,38,51,22.6762937,120.3240912,57.57575758,0.242424242,28.78787879,26.38888889,528.7878788,2008/9/15,2008/9/21
2012,36,57,22.6432638,120.300664,57.14285714,0.040816327,40.81632653,37.83783784,632.6530612,2012/8/27,2012/9/2
2005,43,72,22.6396034,120.3457126,56,0.08,6,82.35294118,288,2005/10/17,2005/10/23
2009,36,30,22.6389998,120.3179645,50.98039216,0.078431373,23.52941176,34.66666667,521.5686275,2009/8/31,2009/9/6
2012,19,5,22.6367146,120.2869661,50,0,37.5,14.28571429,1087.5,2012/4/30,2012/5/6
2011,17,25,22.6471059,120.2966989,50,0,50,2.702702703,1250,2011/4/18,2011/4/24
2005,26,48,22.6665247,120.3291365,50,0.02,30,44.64285714,626,2005/6/20,2005/6/26
2012,1,78,22.6560292,120.3183249,50,0,12.5,36.36363636,500,2012/1/1,2012/1/1
2007,32,48,22.6665247,120.3291365,49.29577465,0.211267606,32.3943662,26.71755725,771.8309859,2007/8/6,2007/8/12
2010,37,56,22.6409958,120.2938152,48.27586207,0.172413793,27.5862069,29.57746479,748.2758621,2010/9/6,2010/9/12
2007,37,79,22.6493216,120.3183249,48.07692308,0.153846154,25,22.52252252,882.6923077,2007/9/10,2007/9/16
2008,40,73,22.6366358,120.3341816,48,0.08,22,24.24242424,476,2008/9/29,2008/10/5
2007,23,48,22.6665247,120.3291365,46,0.08,20,14.74358974,1172,2007/6/4,2007/6/10
2008,40,58,22.6464403,120.2902105,46,0,14,23,288,2008/9/29,2008/10/5
2007,24,15,22.6568351,120.330578,42,0.06,28,24.70588235,446,2007/6/11,2007/6/17
2005,43,75,22.6384195,120.3385059,42,0.1,8,87.5,268,2005/10/17,2005/10/23
2005,43,76,22.6445413,120.3284158,42,0,6,32.8125,128,2005/10/17,2005/10/23
2005,41,78,22.6560292,120.3183249,40.45307443,0.161812298,23.30097087,20.52545156,894.4983819,2005/10/3,2005/10/9
2005,43,64,22.6351375,120.3413886,40.38461538,0.076923077,5.769230769,52.5,96.15384615,2005/10/17,2005/10/23
2011,50,49,22.6625156,120.3161625,40,0,20,28.57142857,200,2011/12/5,2011/12/11
2006,38,71,22.6375204,120.34283,39.39393939,0.075757576,28.78787879,16.99346405,442.4242424,2006/9/11,2006/9/17
2007,37,52,22.6420718,120.2999431,38.46153846,0.019230769,23.07692308,28.57142857,553.8461538,2007/9/10,2007/9/16
2008,48,30,22.6389998,120.3179645,37.25490196,0.078431373,25.49019608,16.81415929,537.254902,2008/11/24,2008/11/30
2006,35,53,22.638573,120.2941757,36.60531697,0.102249489,21.06339468,32.8440367,544.3762781,2006/8/21,2006/8/27
2007,37,32,22.6395987,120.3150812,36.53846154,0.153846154,25,22.89156627,398.0769231,2007/9/10,2007/9/16
