year,ISO,LiNo,latitude,longitude,Brandt_index,Aeg_aed_index,Res_index,Contain_index,Larvae_index,,date,
2005,11,1,22.6393982,120.2869661,2,0,2,3.571428571,16,,2005/3/7,2005/3/13
2005,15,1,22.6393982,120.2869661,1.818181818,0,1.818181818,1.25,1.818181818,,2005/4/4,2005/4/10
2005,19,1,22.6393982,120.2869661,2,0,2,1.960784314,26,,2005/5/2,2005/5/8
2005,24,1,22.6393982,120.2869661,14,0,8,10.60606061,410,,2005/6/6,2005/6/12
2005,26,1,22.6393982,120.2869661,4,0.02,4,4.081632653,50,,2005/6/20,2005/6/26
2005,27,1,22.6393982,120.2869661,6,0,6,5.660377358,54,,2005/6/27,2005/7/3
2005,30,1,22.6393982,120.2869661,10,0.14,10,5.882352941,164,,2005/7/18,2005/7/24
2005,33,1,22.6393982,120.2869661,9.090909091,0,7.272727273,9.433962264,169.0909091,,2005/8/8,2005/8/14
2005,45,1,22.6393982,120.2869661,6,0.02,6,5.357142857,122,,2005/10/31,2005/11/6
2005,52,1,22.6393982,120.2869661,2,0,2,1.960784314,14,,2005/12/19,2005/12/25
2006,10,1,22.6393982,120.2869661,3.846153846,0.057692308,3.846153846,2.739726027,61.53846154,,2006/2/27,2006/3/5
2006,13,1,22.6393982,120.2869661,1.666666667,0,1.666666667,1.492537313,1.666666667,,2006/3/20,2006/3/26
2006,17,1,22.6393982,120.2869661,5.882352941,0.019607843,5.882352941,4.838709677,86.2745098,,2006/4/17,2006/4/23
2006,21,1,22.6393982,120.2869661,5.769230769,0,5.769230769,4.166666667,86.53846154,,2006/5/15,2006/5/21
2006,41,1,22.6393982,120.2869661,8.510638298,0.010638298,6.382978723,9.638554217,245.7446809,,2006/10/2,2006/10/8
2006,48,1,22.6393982,120.2869661,8.411214953,0.028037383,8.411214953,6.870229008,128.9719626,,2006/11/20,2006/11/26
2006,51,1,22.6393982,120.2869661,0,0.018867925,0,0,0,,2006/12/11,2006/12/17
2007,1,1,22.6393982,120.2869661,0,0,0,0,0,,2007/1/1,2007/1/7
2007,10,1,22.6393982,120.2869661,2,0,2,3.225806452,10,,2007/3/5,2007/3/11
2007,11,1,22.6393982,120.2869661,2,0,2,1.470588235,4,,2007/3/12,2007/3/18
2007,14,1,22.6393982,120.2869661,0,0.04,0,0,0,,2007/4/2,2007/4/8
2007,16,1,22.6393982,120.2869661,0,0,0,0,0,,2007/4/16,2007/4/22
2007,18,1,22.6393982,120.2869661,0,0,0,0,0,,2007/4/30,2007/5/6
2007,23,1,22.6393982,120.2869661,4,0.04,2,2.040816327,32,,2007/6/4,2007/6/10
2007,25,1,22.6393982,120.2869661,6,0,2,3.333333333,110,,2007/6/18,2007/6/24
2007,26,1,22.6393982,120.2869661,20,0.06,10,13.88888889,296,,2007/6/25,2007/7/1
2007,33,1,22.6393982,120.2869661,8.656716418,0.014925373,7.462686567,4.849498328,86.56716418,,2007/8/13,2007/8/19
2007,35,1,22.6393982,120.2869661,2,0,2,1.538461538,66,,2007/8/27,2007/9/2
2007,37,1,22.6393982,120.2869661,5.882352941,0,5.882352941,3.658536585,27.45098039,,2007/9/10,2007/9/16
2007,4,1,22.6393982,120.2869661,0,0,0,0,0,,2007/1/22,2007/1/28
2007,40,1,22.6393982,120.2869661,4,0,2,1.904761905,16,,2007/10/1,2007/10/7
2007,51,1,22.6393982,120.2869661,0,0,0,0,0,,2007/12/17,2007/12/23
2007,6,1,22.6393982,120.2869661,0,0,0,0,0,,2007/2/5,2007/2/11
2008,12,1,22.6393982,120.2869661,0,0,0,0,0,,2008/3/17,2008/3/23
2008,14,1,22.6393982,120.2869661,5.882352941,0.019607843,3.921568627,5.357142857,13.7254902,,2008/3/31,2008/4/6
2008,19,1,22.6393982,120.2869661,5.882352941,0,3.921568627,5.769230769,21.56862745,,2008/5/5,2008/5/11
2008,3,1,22.6393982,120.2869661,0,0,0,0,0,,2008/1/14,2008/1/20
2008,40,1,22.6393982,120.2869661,23.52941176,0.019607843,15.68627451,12.90322581,250.9803922,,2008/9/29,2008/10/5
2008,51,1,22.6393982,120.2869661,1.960784314,0,1.960784314,2.380952381,54.90196078,,2008/12/15,2008/12/21
2008,52,1,22.6393982,120.2869661,0,0,0,0,0,,2008/12/22,2008/12/28
2008,8,1,22.6393982,120.2869661,2,0,2,1.587301587,6,,2008/2/18,2008/2/24
2009,11,1,22.6393982,120.2869661,3.773584906,0,3.773584906,5.405405405,7.547169811,,2009/3/9,2009/3/15
2009,12,1,22.6393982,120.2869661,1.818181818,0,1.818181818,1.754385965,1.818181818,,2009/3/16,2009/3/22
2009,15,1,22.6393982,120.2869661,1.960784314,0,1.960784314,2.040816327,25.49019608,,2009/4/6,2009/4/12
2009,17,1,22.6393982,120.2869661,0,0,0,0,0,,2009/4/20,2009/4/26
2009,18,1,22.6393982,120.2869661,1.818181818,0,1.818181818,1.923076923,14.54545455,,2009/4/27,2009/5/3
2009,2,1,22.6393982,120.2869661,0,0,0,0,0,,2009/1/5,2009/1/11
2009,20,1,22.6393982,120.2869661,0,0,0,0,0,,2009/5/11,2009/5/17
2009,24,1,22.6393982,120.2869661,3.703703704,0,1.851851852,3.076923077,5.555555556,,2009/6/8,2009/6/14
2009,26,1,22.6393982,120.2869661,11.32075472,0,9.433962264,11.32075472,66.03773585,,2009/6/22,2009/6/28
2009,27,1,22.6393982,120.2869661,0,0,0,0,0,,2009/6/29,2009/7/5
